file,candidate_source,duration_sec,num_notes,num_cc64_events,num_intermediate_cc64_events,min_cc64,max_cc64,tracks,ticks_per_beat,tempo_changes,selected
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_performance_metadata,147.24479166666666,754,2428,2297,0,127,1,384,1,True
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\0.mid,pianist_transformer_testset_performance,72.626,732,2928,0,0,0,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\1.mid,pianist_transformer_testset_performance,163.78,1207,4828,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\10.mid,pianist_transformer_testset_performance,106.633,1508,6032,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\11.mid,pianist_transformer_testset_performance,67.34,1547,6188,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\12.mid,pianist_transformer_testset_performance,363.264,4906,19624,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\13.mid,pianist_transformer_testset_performance,269.50600000000003,4812,19248,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\14.mid,pianist_transformer_testset_performance,254.65800000000002,2820,11280,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\15.mid,pianist_transformer_testset_performance,291.30400000000003,2646,10584,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\16.mid,pianist_transformer_testset_performance,48.546,633,2532,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\17.mid,pianist_transformer_testset_performance,221.79,4036,16144,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\18.mid,pianist_transformer_testset_performance,347.668,3965,15860,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\19.mid,pianist_transformer_testset_performance,95.218,1262,5048,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\2.mid,pianist_transformer_testset_performance,181.70000000000002,1096,4384,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\20.mid,pianist_transformer_testset_performance,234.58,3354,13416,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\21.mid,pianist_transformer_testset_performance,338.118,4740,18960,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\22.mid,pianist_transformer_testset_performance,115.2,1819,7276,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\3.mid,pianist_transformer_testset_performance,130.034,524,2096,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\4.mid,pianist_transformer_testset_performance,147.126,1683,6732,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\5.mid,pianist_transformer_testset_performance,304.76800000000003,3064,12256,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\6.mid,pianist_transformer_testset_performance,438.558,5606,22428,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\7.mid,pianist_transformer_testset_performance,323.926,4030,16120,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\8.mid,pianist_transformer_testset_performance,230.72,2164,8656,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\testset\performance\9.mid,pianist_transformer_testset_performance,280.284,3515,14060,0,0,127,1,500,1,False
C:\Users\eagle\MARG_research\outputs\midi\baseline\example_03\rendered_03.mid,local_baseline_output,117.56793060200003,524,6,0,0,127,1,500,333,False
