file,candidate_source,note_index,pitch,ioi_from_prev_ticks,ioi_from_prev_sec,velocity,duration_ticks,duration_sec,onset_tick,onset_sec,next_ioi_ticks,next_ioi_sec,pedal1,pedal1_sample_tick,pedal1_sample_time_sec,pedal2,pedal2_sample_tick,pedal2_sample_time_sec,pedal3,pedal3_sample_tick,pedal3_sample_time_sec,pedal4,pedal4_sample_tick,pedal4_sample_time_sec,relative_path,composer,title,folder
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,0,60,500,0.5,36,848,0.848,500,0.5,595,0.595,48,500.0,0.5,48,648.75,0.64875,47,797.5,0.7975,46,946.25,0.94625,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,1,62,595,0.595,51,734,0.734,1095,1.095,611,0.611,44,1095.0,1.095,43,1247.75,1.24775,43,1400.5,1.4005,43,1553.25,1.55325,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,2,64,611,0.611,54,748,0.748,1706,1.706,659,0.659,43,1706.0,1.706,42,1870.75,1.87075,41,2035.5,2.0355,41,2200.25,2.20025,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,3,65,659,0.659,57,1011,1.011,2365,2.365,1022,1.022,41,2365.0,2.365,40,2620.5,2.6205,40,2876.0,2.876,40,3131.5,3.1315,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,4,67,1022,1.022,44,442,0.442,3387,3.387,140,0.14,40,3387.0,3.387,40,3422.0,3.422,40,3457.0,3.457,40,3492.0,3.492,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,5,65,140,0.14,54,339,0.339,3527,3.527,136,0.136,40,3527.0,3.527,40,3561.0,3.561,40,3595.0,3.595,40,3629.0,3.629,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,6,64,136,0.136,53,853,0.853,3663,3.663,626,0.626,40,3663.0,3.663,40,3819.5,3.8195,39,3976.0,3.976,38,4132.5,4.1325,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,7,69,626,0.626,61,718,0.718,4289,4.289,635,0.635,36,4289.0,4.289,34,4447.75,4.44775,32,4606.5,4.6065,0,4765.25,4.76525,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,8,62,635,0.635,47,892,0.892,4924,4.924,665,0.665,0,4924.0,4.924,0,5090.25,5.09025,0,5256.5,5.2565,0,5422.75,5.42275,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,9,67,665,0.665,51,1110,1.11,5589,5.589,1061,1.061,0,5589.0,5.589,0,5854.25,5.85425,0,6119.5,6.1195,0,6384.75,6.38475,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
