metadata_index,composer,title,piece_id,performance_path,split,has_raw_cc64,has_intermediate_pedal,num_raw_cc64_events,num_pedal_intermediate,num_normalized_notes
0,Bach,Fugue_bwv_846,piece_95144f66af25b32c,Bach/Fugue/bwv_846/Shi05M.mid,train,True,True,2428,1655,754
1,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Denisova06M.mid,train,True,True,22,37,1435
2,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Lee01M.mid,train,True,True,697,3093,1438
3,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/LeeSH01M.mid,train,True,True,748,443,1429
4,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Lin04M.mid,train,True,True,143,161,1431
5,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Lou01M.mid,train,True,True,659,2974,1433
6,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/MiyashitaM01M.mid,train,True,True,485,5266,1438
7,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Mizumoto03M.mid,train,True,True,124,88,1440
8,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/SunY01M.mid,train,True,True,689,1350,1431
9,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Zhou01M.mid,train,True,True,102,40,1430
10,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/LuA01M.mid,test,True,True,34,2,739
11,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/MiyashitaM01M.mid,test,True,True,254,224,738
12,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/Ozaki01M.mid,test,True,True,135,97,734
13,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/Richardson01M.mid,test,True,True,86,73,738
14,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/WangA01M.mid,test,True,True,17,15,736
