performance_path,piece_id,composer,title,class_id,class_name,count,ratio,token_count
Bach/Fugue/bwv_846/Shi05M.mid,piece_95144f66af25b32c,Bach,Fugue_bwv_846,0,ZERO,752,0.2493368700265252,3016
Bach/Fugue/bwv_846/Shi05M.mid,piece_95144f66af25b32c,Bach,Fugue_bwv_846,1,LOW,642,0.21286472148541113,3016
Bach/Fugue/bwv_846/Shi05M.mid,piece_95144f66af25b32c,Bach,Fugue_bwv_846,2,MID,634,0.21021220159151194,3016
Bach/Fugue/bwv_846/Shi05M.mid,piece_95144f66af25b32c,Bach,Fugue_bwv_846,3,HIGH,379,0.1256631299734748,3016
Bach/Fugue/bwv_846/Shi05M.mid,piece_95144f66af25b32c,Bach,Fugue_bwv_846,4,FULL,609,0.20192307692307693,3016
Bach/Fugue/bwv_848/Denisova06M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,5703,0.9935540069686412,5740
Bach/Fugue/bwv_848/Denisova06M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,4,0.0006968641114982578,5740
Bach/Fugue/bwv_848/Denisova06M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,33,0.005749128919860627,5740
Bach/Fugue/bwv_848/Denisova06M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,0,0.0,5740
Bach/Fugue/bwv_848/Denisova06M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,0,0.0,5740
Bach/Fugue/bwv_848/Lee01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,2572,0.4471488178025035,5752
Bach/Fugue/bwv_848/Lee01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,2826,0.49130737134909597,5752
Bach/Fugue/bwv_848/Lee01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,223,0.03876912378303199,5752
Bach/Fugue/bwv_848/Lee01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,44,0.0076495132127955496,5752
Bach/Fugue/bwv_848/Lee01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,87,0.015125173852573018,5752
Bach/Fugue/bwv_848/LeeSH01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,4999,0.8745626312106368,5716
Bach/Fugue/bwv_848/LeeSH01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,198,0.03463960811756473,5716
Bach/Fugue/bwv_848/LeeSH01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,219,0.03831350594821554,5716
Bach/Fugue/bwv_848/LeeSH01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,26,0.004548635409377187,5716
Bach/Fugue/bwv_848/LeeSH01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,274,0.04793561931420574,5716
Bach/Fugue/bwv_848/Lin04M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,5563,0.9718728162124388,5724
Bach/Fugue/bwv_848/Lin04M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,20,0.0034940600978336828,5724
Bach/Fugue/bwv_848/Lin04M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,87,0.01519916142557652,5724
Bach/Fugue/bwv_848/Lin04M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,54,0.009433962264150943,5724
Bach/Fugue/bwv_848/Lin04M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,0,0.0,5724
Bach/Fugue/bwv_848/Lou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,2748,0.479413817166783,5732
Bach/Fugue/bwv_848/Lou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,2835,0.49459176552686673,5732
Bach/Fugue/bwv_848/Lou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,129,0.02250523377529658,5732
Bach/Fugue/bwv_848/Lou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,10,0.0017445917655268667,5732
Bach/Fugue/bwv_848/Lou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,10,0.0017445917655268667,5732
Bach/Fugue/bwv_848/MiyashitaM01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,406,0.07058414464534075,5752
Bach/Fugue/bwv_848/MiyashitaM01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,5164,0.8977746870653686,5752
Bach/Fugue/bwv_848/MiyashitaM01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,94,0.01634214186369958,5752
Bach/Fugue/bwv_848/MiyashitaM01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,8,0.0013908205841446453,5752
Bach/Fugue/bwv_848/MiyashitaM01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,80,0.013908205841446454,5752
Bach/Fugue/bwv_848/Mizumoto03M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,5653,0.9814236111111111,5760
Bach/Fugue/bwv_848/Mizumoto03M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,59,0.010243055555555556,5760
Bach/Fugue/bwv_848/Mizumoto03M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,22,0.0038194444444444443,5760
Bach/Fugue/bwv_848/Mizumoto03M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,7,0.0012152777777777778,5760
Bach/Fugue/bwv_848/Mizumoto03M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,19,0.003298611111111111,5760
Bach/Fugue/bwv_848/SunY01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,4219,0.7370719776380154,5724
Bach/Fugue/bwv_848/SunY01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,1133,0.19793850454227813,5724
Bach/Fugue/bwv_848/SunY01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,172,0.03004891684136967,5724
Bach/Fugue/bwv_848/SunY01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,45,0.007861635220125786,5724
Bach/Fugue/bwv_848/SunY01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,155,0.027078965758211043,5724
Bach/Fugue/bwv_848/Zhou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,0,ZERO,5667,0.9907342657342657,5720
Bach/Fugue/bwv_848/Zhou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,1,LOW,25,0.004370629370629371,5720
Bach/Fugue/bwv_848/Zhou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,2,MID,13,0.0022727272727272726,5720
Bach/Fugue/bwv_848/Zhou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,3,HIGH,2,0.00034965034965034965,5720
Bach/Fugue/bwv_848/Zhou01M.mid,piece_03244c28858cefca,Bach,Fugue_bwv_848,4,FULL,13,0.0022727272727272726,5720
Bach/Fugue/bwv_856/LuoJ01M.mid,piece_9c4cbf5a26ef339d,Bach,Fugue_bwv_856,0,ZERO,7,0.002364864864864865,2960
Bach/Fugue/bwv_856/LuoJ01M.mid,piece_9c4cbf5a26ef339d,Bach,Fugue_bwv_856,1,LOW,2953,0.9976351351351351,2960
Bach/Fugue/bwv_856/LuoJ01M.mid,piece_9c4cbf5a26ef339d,Bach,Fugue_bwv_856,2,MID,0,0.0,2960
Bach/Fugue/bwv_856/LuoJ01M.mid,piece_9c4cbf5a26ef339d,Bach,Fugue_bwv_856,3,HIGH,0,0.0,2960
Bach/Fugue/bwv_856/LuoJ01M.mid,piece_9c4cbf5a26ef339d,Bach,Fugue_bwv_856,4,FULL,0,0.0,2960
Bach/Fugue/bwv_857/Bult-ItoS02M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,0,ZERO,445,0.07946428571428571,5600
Bach/Fugue/bwv_857/Bult-ItoS02M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,1,LOW,2874,0.5132142857142857,5600
Bach/Fugue/bwv_857/Bult-ItoS02M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,2,MID,1751,0.3126785714285714,5600
Bach/Fugue/bwv_857/Bult-ItoS02M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,3,HIGH,251,0.044821428571428575,5600
Bach/Fugue/bwv_857/Bult-ItoS02M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,4,FULL,279,0.04982142857142857,5600
Bach/Fugue/bwv_857/Lan01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,0,ZERO,25,0.004619364375461937,5412
Bach/Fugue/bwv_857/Lan01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,1,LOW,5387,0.995380635624538,5412
Bach/Fugue/bwv_857/Lan01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,2,MID,0,0.0,5412
Bach/Fugue/bwv_857/Lan01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,3,HIGH,0,0.0,5412
Bach/Fugue/bwv_857/Lan01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,4,FULL,0,0.0,5412
Bach/Fugue/bwv_857/Lisiecki04M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,0,ZERO,5294,0.9840148698884759,5380
Bach/Fugue/bwv_857/Lisiecki04M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,1,LOW,10,0.0018587360594795538,5380
Bach/Fugue/bwv_857/Lisiecki04M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,2,MID,54,0.010037174721189592,5380
Bach/Fugue/bwv_857/Lisiecki04M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,3,HIGH,22,0.004089219330855019,5380
Bach/Fugue/bwv_857/Lisiecki04M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,4,FULL,0,0.0,5380
Bach/Fugue/bwv_857/ToA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,0,ZERO,955,0.1754224834680382,5444
Bach/Fugue/bwv_857/ToA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,1,LOW,2160,0.3967670830271859,5444
Bach/Fugue/bwv_857/ToA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,2,MID,1465,0.26910360029390157,5444
Bach/Fugue/bwv_857/ToA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,3,HIGH,292,0.05363703159441587,5444
Bach/Fugue/bwv_857/ToA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,4,FULL,572,0.10506980161645849,5444
Bach/Fugue/bwv_857/WangA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,0,ZERO,2430,0.4533582089552239,5360
Bach/Fugue/bwv_857/WangA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,1,LOW,1550,0.2891791044776119,5360
Bach/Fugue/bwv_857/WangA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,2,MID,560,0.1044776119402985,5360
Bach/Fugue/bwv_857/WangA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,3,HIGH,102,0.019029850746268655,5360
Bach/Fugue/bwv_857/WangA01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,4,FULL,718,0.13395522388059702,5360
Bach/Fugue/bwv_857/YuP01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,0,ZERO,3046,0.5607511045655376,5432
Bach/Fugue/bwv_857/YuP01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,1,LOW,1177,0.21667893961708395,5432
Bach/Fugue/bwv_857/YuP01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,2,MID,554,0.10198821796759941,5432
Bach/Fugue/bwv_857/YuP01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,3,HIGH,152,0.027982326951399118,5432
Bach/Fugue/bwv_857/YuP01M.mid,piece_ab87564eee000628,Bach,Fugue_bwv_857,4,FULL,503,0.09259941089837997,5432
Bach/Fugue/bwv_858/VuV01M.mid,piece_8d6589d771d00836,Bach,Fugue_bwv_858,0,ZERO,3039,0.8682857142857143,3500
Bach/Fugue/bwv_858/VuV01M.mid,piece_8d6589d771d00836,Bach,Fugue_bwv_858,1,LOW,336,0.096,3500
Bach/Fugue/bwv_858/VuV01M.mid,piece_8d6589d771d00836,Bach,Fugue_bwv_858,2,MID,113,0.032285714285714286,3500
