slot,class_id,class_name,range,count,ratio
Pedal1,0,ZERO,0,746518,0.24978735962556556
Pedal1,1,LOW,1-63,441751,0.14781132658817767
Pedal1,2,MID,64-95,508854,0.1702642094295215
Pedal1,3,HIGH,96-126,218139,0.07299002146145336
Pedal1,4,FULL,127,1073352,0.3591470828952819
Pedal2,0,ZERO,0,748763,0.2505385439538194
Pedal2,1,LOW,1-63,449758,0.1504904949250723
Pedal2,2,MID,64-95,503320,0.168412514965131
Pedal2,3,HIGH,96-126,213358,0.07139028325504733
Pedal2,4,FULL,127,1073415,0.35916816290093
Pedal3,0,ZERO,0,740383,0.24773456859935744
Pedal3,1,LOW,1-63,435679,0.14577961556761762
Pedal3,2,MID,64-95,501355,0.16775501955086872
Pedal3,3,HIGH,96-126,218271,0.07303418909233511
Pedal3,4,FULL,127,1092926,0.3656966071898211
Pedal4,0,ZERO,0,739994,0.247604407929562
Pedal4,1,LOW,1-63,431653,0.14443250282572456
Pedal4,2,MID,64-95,500854,0.16758738331547668
Pedal4,3,HIGH,96-126,220060,0.07363279433208839
Pedal4,4,FULL,127,1096053,0.3667429115971484
