source,unit,value,count,ratio
tokenized_pedal_all,tokens,0,2975658,0.24891622002707608
tokenized_pedal_all,tokens,1,0,0.0
tokenized_pedal_all,tokens,2,0,0.0
tokenized_pedal_all,tokens,3,0,0.0
tokenized_pedal_all,tokens,4,0,0.0
tokenized_pedal_all,tokens,5,0,0.0
tokenized_pedal_all,tokens,6,0,0.0
tokenized_pedal_all,tokens,7,0,0.0
tokenized_pedal_all,tokens,8,9074,0.0007590475049638394
tokenized_pedal_all,tokens,9,9756,0.0008160973615194201
tokenized_pedal_all,tokens,10,14129,0.0011819023801668599
tokenized_pedal_all,tokens,11,11161,0.0009336267580892012
tokenized_pedal_all,tokens,12,10447,0.0008739000754195758
tokenized_pedal_all,tokens,13,11109,0.0009292769156538784
tokenized_pedal_all,tokens,14,7868,0.0006581646207907746
tokenized_pedal_all,tokens,15,11700,0.000978714547947644
tokenized_pedal_all,tokens,16,14096,0.0011791419032367513
tokenized_pedal_all,tokens,17,14572,0.0012189596916831681
tokenized_pedal_all,tokens,18,14188,0.00118683777831463
tokenized_pedal_all,tokens,19,13719,0.0011476055455806604
tokenized_pedal_all,tokens,20,15065,0.0012601995440026715
tokenized_pedal_all,tokens,21,15302,0.001280024787409816
tokenized_pedal_all,tokens,22,16341,0.0013669379853002094
tokenized_pedal_all,tokens,23,16247,0.0013590748085902027
tokenized_pedal_all,tokens,24,17352,0.0014515089603408136
tokenized_pedal_all,tokens,25,16049,0.0013425119470095502
tokenized_pedal_all,tokens,26,18069,0.0015114865954586306
tokenized_pedal_all,tokens,27,18762,0.0015694566109909142
tokenized_pedal_all,tokens,28,20535,0.001717769507872211
tokenized_pedal_all,tokens,29,22345,0.001869177484947872
tokenized_pedal_all,tokens,30,22336,0.001868424627603297
tokenized_pedal_all,tokens,31,21243,0.001776994285645453
tokenized_pedal_all,tokens,32,25095,0.0020992172291236003
tokenized_pedal_all,tokens,33,22535,0.0018850711400000134
tokenized_pedal_all,tokens,34,25689,0.002148905813865558
tokenized_pedal_all,tokens,35,24927,0.002085163892024865
tokenized_pedal_all,tokens,36,28746,0.0024046263585729036
tokenized_pedal_all,tokens,37,27687,0.0023160401443612323
tokenized_pedal_all,tokens,38,28046,0.0023460707873281727
tokenized_pedal_all,tokens,39,29101,0.0024343223982755888
tokenized_pedal_all,tokens,40,31588,0.002642361977826511
tokenized_pedal_all,tokens,41,32304,0.002702255962128264
tokenized_pedal_all,tokens,42,33068,0.0027661651856010845
tokenized_pedal_all,tokens,43,33184,0.002775868680264497
tokenized_pedal_all,tokens,44,34729,0.0029051091910832247
tokenized_pedal_all,tokens,45,35125,0.0029382349142445295
tokenized_pedal_all,tokens,46,37369,0.0031259473454919237
tokenized_pedal_all,tokens,47,37912,0.003171369738614622
tokenized_pedal_all,tokens,48,39322,0.003289317389264723
tokenized_pedal_all,tokens,49,39024,0.0032643894460776804
tokenized_pedal_all,tokens,50,42687,0.00357080238531975
tokenized_pedal_all,tokens,51,43238,0.0036168939849709598
tokenized_pedal_all,tokens,52,46448,0.003885413104536083
tokenized_pedal_all,tokens,53,47176,0.003946310898630603
tokenized_pedal_all,tokens,54,51020,0.004267864635580239
tokenized_pedal_all,tokens,55,51842,0.0043366256063847655
tokenized_pedal_all,tokens,56,54735,0.004578627417257632
tokenized_pedal_all,tokens,57,56080,0.004691137764863579
tokenized_pedal_all,tokens,58,59392,0.00496818926766722
tokenized_pedal_all,tokens,59,63133,0.005281126970562274
tokenized_pedal_all,tokens,60,70101,0.005864005856895537
tokenized_pedal_all,tokens,61,75291,0.006298153592267185
tokenized_pedal_all,tokens,62,80467,0.0067311302162139375
tokenized_pedal_all,tokens,63,90315,0.007554923452811236
tokenized_pedal_all,tokens,64,97136,0.008125505669183106
tokenized_pedal_all,tokens,65,89720,0.007505151217253215
tokenized_pedal_all,tokens,66,83358,0.006972964725454675
tokenized_pedal_all,tokens,67,79035,0.0066113422476104305
tokenized_pedal_all,tokens,68,73054,0.006111026716732238
tokenized_pedal_all,tokens,69,70360,0.005885671418256088
tokenized_pedal_all,tokens,70,67905,0.00568030866481921
tokenized_pedal_all,tokens,71,66837,0.005590969593262964
tokenized_pedal_all,tokens,72,66058,0.005525805607549185
tokenized_pedal_all,tokens,73,64676,0.005410200179748873
tokenized_pedal_all,tokens,74,63493,0.005311241264345279
tokenized_pedal_all,tokens,75,63804,0.005337256668141152
tokenized_pedal_all,tokens,76,63918,0.005346792861172437
tokenized_pedal_all,tokens,77,63235,0.005289659353800792
tokenized_pedal_all,tokens,78,63526,0.005314001741275387
tokenized_pedal_all,tokens,79,63823,0.005338846033646366
tokenized_pedal_all,tokens,80,61019,0.005104289145403187
tokenized_pedal_all,tokens,81,63375,0.005301370468049738
tokenized_pedal_all,tokens,82,61016,0.005104038192954995
tokenized_pedal_all,tokens,83,62174,0.0052009058379569924
tokenized_pedal_all,tokens,84,58891,0.004926280208819205
tokenized_pedal_all,tokens,85,57592,0.004817617798752198
tokenized_pedal_all,tokens,86,58728,0.004912645125800789
tokenized_pedal_all,tokens,87,58210,0.004869314003079689
tokenized_pedal_all,tokens,88,54033,0.004519904544380773
tokenized_pedal_all,tokens,89,48904,0.004090859508789024
tokenized_pedal_all,tokens,90,51854,0.0043376294161775325
tokenized_pedal_all,tokens,91,51344,0.0042949674999849426
tokenized_pedal_all,tokens,92,47846,0.004002356945393417
tokenized_pedal_all,tokens,93,46633,0.003900888505507904
tokenized_pedal_all,tokens,94,46594,0.0038976261236814123
tokenized_pedal_all,tokens,95,46232,0.00386734452826628
tokenized_pedal_all,tokens,96,45495,0.003805693876827185
tokenized_pedal_all,tokens,97,39100,0.0032707469080985366
tokenized_pedal_all,tokens,98,41372,0.00346080156219572
tokenized_pedal_all,tokens,99,37651,0.003149536875621944
tokenized_pedal_all,tokens,100,37989,0.0031778108514515426
tokenized_pedal_all,tokens,101,35826,0.0029968741363053243
tokenized_pedal_all,tokens,102,34219,0.0028624472748906347
tokenized_pedal_all,tokens,103,33241,0.0027806367767801397
tokenized_pedal_all,tokens,104,33504,0.0028026369414049456
tokenized_pedal_all,tokens,105,31738,0.002654909600236096
tokenized_pedal_all,tokens,106,30295,0.0025342014726558865
tokenized_pedal_all,tokens,107,29896,0.0025008247970463903
tokenized_pedal_all,tokens,108,27723,0.002319051573739533
tokenized_pedal_all,tokens,109,26494,0.002216244720796998
tokenized_pedal_all,tokens,110,26136,0.0021862977286461215
tokenized_pedal_all,tokens,111,23782,0.001989383707631698
tokenized_pedal_all,tokens,112,23673,0.001980265768680733
