scope,slot,class_id,class_name,range,count,mean,median,std,min,max,unique_value_count
overall,all,0,ZERO,0,2975658,0.0,0.0,0.0,0.0,0.0,1
overall,all,1,LOW,1-31,361465,21.221028315327903,22.0,6.8346210206623015,8.0,31.0,24
overall,all,2,MID_LOW,32-63,1397376,50.90674664514061,53.0,9.09950878332864,32.0,63.0,32
overall,all,3,MID_HIGH,64-95,2014383,77.91208126756432,77.0,9.233217088785105,64.0,95.0,32
overall,all,4,HIGH,96-126,869828,109.35113493702204,108.0,9.58521380674423,96.0,126.0,31
overall,all,5,FULL,127,4335746,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal1,0,ZERO,0,746518,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal1,1,LOW,1-31,90473,21.222895228410685,22.0,6.8343641163801925,8.0,31.0,24
slot,Pedal1,2,MID_LOW,32-63,351278,50.92324882286964,53.0,9.096339242033064,32.0,63.0,32
slot,Pedal1,3,MID_HIGH,64-95,508854,77.90043313013163,77.0,9.222443821546431,64.0,95.0,32
slot,Pedal1,4,HIGH,96-126,218139,109.33493781487951,108.0,9.569116868639558,96.0,126.0,31
slot,Pedal1,5,FULL,127,1073352,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal2,0,ZERO,0,748763,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal2,1,LOW,1-31,91589,21.230256908580724,22.0,6.828685044469275,8.0,31.0,24
slot,Pedal2,2,MID_LOW,32-63,358169,50.92070503030692,53.0,9.095394840421203,32.0,63.0,32
slot,Pedal2,3,MID_HIGH,64-95,503320,77.79763371215131,77.0,9.238954001604927,64.0,95.0,32
slot,Pedal2,4,HIGH,96-126,213358,109.33153666607299,108.0,9.588801193412896,96.0,126.0,31
slot,Pedal2,5,FULL,127,1073415,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal3,0,ZERO,0,740383,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal3,1,LOW,1-31,89857,21.219593353884505,22.0,6.836126054132766,8.0,31.0,24
slot,Pedal3,2,MID_LOW,32-63,345822,50.89429243946308,53.0,9.096210489070943,32.0,63.0,32
slot,Pedal3,3,MID_HIGH,64-95,501355,77.95030866352185,77.0,9.2370223493595,64.0,95.0,32
slot,Pedal3,4,HIGH,96-126,218271,109.35379871810731,108.0,9.584435444371675,96.0,126.0,31
slot,Pedal3,5,FULL,127,1092926,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal4,0,ZERO,0,739994,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal4,1,LOW,1-31,89546,21.21114287628705,22.0,6.8394233045509125,8.0,31.0,24
slot,Pedal4,2,MID_LOW,32-63,342107,50.88777780051271,52.0,9.110340944365012,32.0,63.0,32
slot,Pedal4,3,MID_HIGH,64-95,500854,78.00066087123193,78.0,9.233354877392546,64.0,95.0,32
slot,Pedal4,4,HIGH,96-126,220060,109.3835499409252,108.0,9.59835287671545,96.0,126.0,31
slot,Pedal4,5,FULL,127,1096053,127.0,127.0,0.0,127.0,127.0,1
