source,unit,class_id,class_name,range,count,ratio
raw_cc64_event,events,0,ZERO,0,142897,0.0371344010282469
raw_cc64_event,events,1,LOW,1-31,185563,0.048221942084190575
raw_cc64_event,events,2,MID_LOW,32-63,1073864,0.27906321634322157
raw_cc64_event,events,3,MID_HIGH,64-95,1758939,0.4570924946655534
raw_cc64_event,events,4,HIGH,96-126,545345,0.14171788021266582
raw_cc64_event,events,5,FULL,127,141495,0.036770065666121725
raw_cc64_time_occupancy,seconds,0,ZERO,0,63964.105968612566,0.22367258838507337
raw_cc64_time_occupancy,seconds,1,LOW,1-31,8744.766695012493,0.030579097008825967
raw_cc64_time_occupancy,seconds,2,MID_LOW,32-63,33966.38343112083,0.11877519094610206
raw_cc64_time_occupancy,seconds,3,MID_HIGH,64-95,50924.16452178332,0.17807392939289857
raw_cc64_time_occupancy,seconds,4,HIGH,96-126,24825.094539122918,0.08680951712503417
raw_cc64_time_occupancy,seconds,5,FULL,127,103547.5229489562,0.36208967714206597
tokenized_pedal_all,tokens,0,ZERO,0,2975658,0.24891622002707608
tokenized_pedal_all,tokens,1,LOW,1-31,361465,0.030236842228538046
tokenized_pedal_all,tokens,2,MID_LOW,32-63,1397376,0.11689164274811
tokenized_pedal_all,tokens,3,MID_HIGH,64-95,2014383,0.16850478181524947
tokenized_pedal_all,tokens,4,HIGH,96-126,869828,0.07276182203523104
tokenized_pedal_all,tokens,5,FULL,127,4335746,0.3626886911457953
