scope,file,method,boundaries,class,ioi_count,ioi_proportion_among_on_iois,on_duration_sec,on_duration_proportion,representative_time_weighted_median_cc64
aggregate,ALL,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,71067,0.2092174988224211,5483.8590772041725,0.18670270577993842,73.0
aggregate,ALL,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,35553,0.10466615638247763,3138.757227987495,0.10686169338078089,93.0
aggregate,ALL,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,233060,0.6861163447951013,20749.529397227096,0.7064356008392807,127.0
per_file,0-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,0,,0.0,,
per_file,0-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,0,,0.0,,
per_file,0-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,0,,0.0,,
per_file,0-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,0,0.0,0.13958333333333328,0.30316742081447956,68.0
per_file,0-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,0,0.0,0.060416666666666785,0.13122171945701386,100.0
per_file,0-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,1,1.0,0.2604166666666665,0.5656108597285066,127.0
per_file,0-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,13,0.43333333333333335,0.8046874999999897,0.32819968135952815,72.0
per_file,0-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,4,0.13333333333333333,0.23046875000000355,0.09399893786511024,88.0
per_file,0-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,13,0.43333333333333335,1.4166666666666752,0.5778013807753615,127.0
per_file,0-3.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,8,0.42105263157894735,0.4622395833333387,0.2557636887608097,68.0
per_file,0-3.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,4,0.21052631578947367,0.2981770833333339,0.16498559077809816,104.0
per_file,0-3.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,7,0.3684210526315789,1.0468749999999958,0.5792507204610923,127.0
per_file,0-4.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,3,0.6,0.11874999999999858,0.39583333333333237,71.0
per_file,0-4.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,2,0.4,0.18124999999999858,0.6041666666666676,97.0
per_file,0-4.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,0,0.0,0.0,0.0,
per_file,1-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,15,0.75,1.6281250000000185,0.7518037518037509,66.0
per_file,1-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,3,0.15,0.21979166666667282,0.10149110149110308,91.0
per_file,1-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,2,0.1,0.3177083333333357,0.14670514670514598,127.0
per_file,1-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,15,0.75,1.6281250000000185,0.7518037518037509,66.0
per_file,1-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,3,0.15,0.21979166666667282,0.10149110149110308,91.0
per_file,1-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,2,0.1,0.3177083333333357,0.14670514670514598,127.0
per_file,2-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,372,0.39323467230443976,39.69547312500005,0.22676747255430035,70.0
per_file,2-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,91,0.09619450317124736,14.003725312500125,0.07999877934344003,92.0
per_file,2-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,483,0.5105708245243129,121.3500389062499,0.6932337481022597,127.0
per_file,2-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,302,0.31957671957671957,40.0821875000001,0.22135797334309038,72.0
per_file,2-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,168,0.17777777777777778,22.116874999999947,0.12214270058694869,94.0
per_file,2-1.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,475,0.5026455026455027,118.87500000000006,0.656499326069961,127.0
per_file,2-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,418,0.9330357142857143,66.07765828124991,0.8687079726811446,70.0
per_file,2-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,18,0.04017857142857143,5.484770156250056,0.07210702810892504,98.0
per_file,2-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,12,0.026785714285714284,4.501865156250005,0.059184999209930395,127.0
per_file,3-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,83,0.2577639751552795,16.377152310416687,0.2673165457589288,70.0
per_file,3-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,41,0.12732919254658384,6.023509995833344,0.09831891741071443,93.0
per_file,3-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,198,0.6149068322981367,38.86435316041665,0.6343645368303567,127.0
per_file,3-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,384,0.8727272727272727,80.28776041666661,0.8883718249794691,79.0
per_file,3-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,56,0.12727272727272726,10.0885416666667,0.11162817502053086,87.0
per_file,3-2.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,0,0.0,0.0,0.0,
per_file,3-3.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,25,0.05186721991701245,18.117708333333407,0.14153423007755034,70.0
per_file,3-3.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,22,0.04564315352697095,10.537499999999682,0.08231818958572126,95.0
per_file,3-3.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,435,0.9024896265560166,99.35416666666683,0.7761475803367284,127.0
per_file,3-4.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,43,0.088659793814433,13.573730843749988,0.1239536381197682,76.0
per_file,3-4.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,123,0.2536082474226804,30.788490787499914,0.2811567054966921,96.0
per_file,3-4.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,319,0.6577319587628866,65.14429265625,0.5948896563835397,127.0
per_file,3-5.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,29,0.05576923076923077,12.204071422916943,0.0957068887511122,74.0
per_file,3-5.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,50,0.09615384615384616,11.008557466666364,0.08633141746401214,96.0
per_file,3-5.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,441,0.8480769230769231,104.30244951458351,0.8179616937848757,126.0
per_file,4-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,35,0.4666666666666667,3.1757446874999644,0.4053178796659252,74.0
per_file,4-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,MEDIUM,15,0.2,1.8977010937500065,0.24220214760525152,96.0
per_file,4-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,DEEP,25,0.3333333333333333,2.7617493749999973,0.3524799727288233,127.0
per_file,5-0.mid,equal_width,64<=LIGHT<85;85<=MEDIUM<106;106<=DEEP<128,LIGHT,370,0.7740585774058577,24.296182968749928,0.7034645425721102,72.0
