file,relative_path,status,error,midi_type,ticks_per_beat,tempo_change_count,note_count,unique_onset_count,ioi_count,cc64_event_count,cc64_channel_distribution,cc64_track_distribution,note_channel_distribution,channel_conflict_count,track_conflict_count,drum_note_count,cc64_events_before_first_onset,cc64_events_at_or_after_last_onset,long_ioi_count_gt_5s,max_ioi_duration_sec,baseline_64_up_count,baseline_64_down_count,baseline_64_transition_count,baseline_64_main_ioi_up_count,baseline_64_main_ioi_down_count,baseline_64_main_ioi_transition_count,baseline_64_transitions_before_first_onset,baseline_64_transitions_at_or_after_last_onset,baseline_64_two_slot_coverage,baseline_64_rapid_reversal_25ms,baseline_64_near_threshold_rapid_25ms,baseline_64_rapid_reversal_50ms,baseline_64_near_threshold_rapid_50ms,baseline_64_rapid_reversal_100ms,baseline_64_near_threshold_rapid_100ms,baseline_64_rapid_reversal_200ms,baseline_64_near_threshold_rapid_200ms,narrow_68_60_up_count,narrow_68_60_down_count,narrow_68_60_transition_count,narrow_68_60_main_ioi_up_count,narrow_68_60_main_ioi_down_count,narrow_68_60_main_ioi_transition_count,narrow_68_60_transitions_before_first_onset,narrow_68_60_transitions_at_or_after_last_onset,narrow_68_60_two_slot_coverage,narrow_68_60_rapid_reversal_25ms,narrow_68_60_near_threshold_rapid_25ms,narrow_68_60_rapid_reversal_50ms,narrow_68_60_near_threshold_rapid_50ms,narrow_68_60_rapid_reversal_100ms,narrow_68_60_near_threshold_rapid_100ms,narrow_68_60_rapid_reversal_200ms,narrow_68_60_near_threshold_rapid_200ms,wide_72_56_up_count,wide_72_56_down_count,wide_72_56_transition_count,wide_72_56_main_ioi_up_count,wide_72_56_main_ioi_down_count,wide_72_56_main_ioi_transition_count,wide_72_56_transitions_before_first_onset,wide_72_56_transitions_at_or_after_last_onset,wide_72_56_two_slot_coverage,wide_72_56_rapid_reversal_25ms,wide_72_56_near_threshold_rapid_25ms,wide_72_56_rapid_reversal_50ms,wide_72_56_near_threshold_rapid_50ms,wide_72_56_rapid_reversal_100ms,wide_72_56_near_threshold_rapid_100ms,wide_72_56_rapid_reversal_200ms,wide_72_56_near_threshold_rapid_200ms,transition_count_0_iois,transition_count_1_iois,transition_count_2_iois,transition_count_3_iois,transition_count_4plus_iois,overflow_ioi_count,overflow_ioi_ratio,same_timestamp_opposite_transition_count,continuously_off_ioi_count,continuously_on_ioi_count,partially_on_ioi_count,ever_on_ioi_count,baseline_rapid_rate_per_1000_iois,baseline_near_threshold_rapid_rate_per_1000_iois,baseline_transition_rate_per_1000_iois,warnings,near_threshold_rate_empirical_p95,transition_rate_empirical_p95,high_near_threshold_crossing_rate,high_transition_rate
0-0.mid,third_party/PianistTransformer/data/midis/testset/human/0-0.mid,analyzed,,1,480,1,739,706,705,34,"{""0"": 34}","{""1"": 34}","{""0"": 739}",0,0,0,2,32,0,0.7614583333333333,1,1,2,0,0,0,0,2,1.0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1.0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1.0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0.0,0,705,0,0,0,0.0,0.0,2.8368794326241136,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
0-1.mid,third_party/PianistTransformer/data/midis/testset/human/0-1.mid,analyzed,,1,480,1,738,709,708,254,"{""0"": 254}","{""1"": 254}","{""0"": 738}",0,0,0,0,84,0,0.6635416666666666,2,2,4,1,1,2,0,2,1.0,0,0,0,0,0,0,0,0,2,2,4,1,1,2,0,2,1.0,0,0,0,0,0,0,0,0,2,2,4,1,1,2,0,2,1.0,0,0,0,0,0,0,0,0,707,0,1,0,0,0,0.0,0,707,0,1,1,0.0,0.0,5.649717514124294,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
0-2.mid,third_party/PianistTransformer/data/midis/testset/human/0-2.mid,analyzed,,1,384,1,734,721,720,135,"{""0"": 135}","{""1"": 135}","{""0"": 734}",0,0,0,0,21,0,0.7096354166666666,9,9,18,8,8,16,0,2,1.0,0,0,0,0,1,1,2,1,9,9,18,8,8,16,0,2,1.0,0,0,0,0,1,1,2,1,8,8,16,7,7,14,0,2,1.0,0,0,0,0,0,0,1,0,705,14,1,0,0,0,0.0,0,690,15,15,30,2.7777777777777777,1.3888888888888888,25.0,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
0-3.mid,third_party/PianistTransformer/data/midis/testset/human/0-3.mid,analyzed,,1,384,1,738,721,720,86,"{""0"": 86}","{""1"": 86}","{""0"": 738}",0,0,0,10,0,0,0.6263020833333333,5,5,10,5,5,10,0,0,1.0,0,0,0,0,1,1,1,1,4,4,8,4,4,8,0,0,1.0,0,0,0,0,0,0,0,0,4,4,8,4,4,8,0,0,1.0,0,0,0,0,0,0,0,0,711,8,1,0,0,0,0.0,0,701,11,8,19,1.3888888888888888,1.3888888888888888,13.88888888888889,cc64_before_first_onset,15.301181483633547,291.93373852610824,False,False
0-4.mid,third_party/PianistTransformer/data/midis/testset/human/0-4.mid,analyzed,,1,480,1,736,718,717,17,"{""0"": 17}","{""1"": 17}","{""0"": 736}",0,0,0,0,0,0,0.7052083333333334,1,1,2,1,1,2,0,0,1.0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,1.0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,1.0,0,0,0,0,0,0,0,0,715,2,0,0,0,0,0.0,0,712,3,2,5,0.0,0.0,2.789400278940028,,15.301181483633547,291.93373852610824,False,False
1-0.mid,third_party/PianistTransformer/data/midis/testset/human/1-0.mid,analyzed,,1,480,1,1188,1104,1103,756,"{""0"": 756}","{""1"": 756}","{""0"": 1188}",0,0,0,0,49,0,1.2135416666666667,11,11,22,10,10,20,0,2,1.0,0,0,1,1,1,1,6,5,5,5,10,5,5,10,0,0,1.0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,0,1.0,0,0,0,0,0,0,0,0,1086,14,3,0,0,0,0.0,0,1083,3,17,20,5.439709882139619,4.533091568449683,19.945602901178603,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
1-1.mid,third_party/PianistTransformer/data/midis/testset/human/1-1.mid,analyzed,,1,480,1,1188,1104,1103,756,"{""0"": 756}","{""1"": 756}","{""0"": 1188}",0,0,0,0,49,0,1.2135416666666667,11,11,22,10,10,20,0,2,1.0,0,0,1,1,1,1,6,5,5,5,10,5,5,10,0,0,1.0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,0,1.0,0,0,0,0,0,0,0,0,1086,14,3,0,0,0,0.0,0,1083,3,17,20,5.439709882139619,4.533091568449683,19.945602901178603,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
2-0.mid,third_party/PianistTransformer/data/midis/testset/human/2-0.mid,analyzed,,0,384,1,1221,1214,1213,4612,"{""0"": 4612}","{""0"": 4612}","{""0"": 1221}",0,0,0,0,51,0,1.9658099999999763,278,278,556,277,277,554,0,2,0.9958779884583677,0,0,0,0,2,2,52,5,271,271,542,270,270,540,0,2,0.9958779884583677,0,0,0,0,1,0,24,1,264,264,528,263,263,526,0,2,0.9975267930750206,0,0,0,0,0,0,22,0,770,337,101,5,0,5,0.004122011541632316,0,267,511,435,946,42.86892003297609,4.122011541632316,458.3676834295136,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
2-1.mid,third_party/PianistTransformer/data/midis/testset/human/2-1.mid,analyzed,,0,480,1,1196,1140,1139,5070,"{""0"": 5070}","{""0"": 5070}","{""0"": 1196}",0,0,0,8,67,0,2.28125,266,266,532,265,265,530,1,1,1.0,0,0,0,0,5,1,90,6,258,258,516,257,257,514,1,1,1.0,0,0,0,0,1,0,70,1,253,253,506,252,252,504,1,1,1.0,0,0,0,0,0,0,66,0,740,268,131,0,0,0,0.0,0,194,552,393,945,79.01668129938543,5.267778753292362,467.07638279192275,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
2-2.mid,third_party/PianistTransformer/data/midis/testset/human/2-2.mid,analyzed,,0,384,1,1171,1161,1160,5203,"{""0"": 5203}","{""0"": 5203}","{""0"": 1171}",0,0,0,8,98,0,2.216878124999994,142,142,284,141,140,281,1,2,1.0,1,1,1,1,6,5,44,25,96,96,192,95,94,189,1,2,1.0,0,0,0,0,3,0,22,2,71,71,142,70,69,139,1,2,1.0,0,0,0,0,4,1,17,1,928,183,49,0,0,0,0.0,0,712,218,230,448,37.93103448275862,21.551724137931036,244.82758620689654,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,True,False
